"Notes"	"State"	"State Code"	"Year"	"Year Code"	Avg Daily Precipitation (mm)
	"California"	"06"	"2002"	"2002"	1.31
	"California"	"06"	"2003"	"2003"	1.48
	"California"	"06"	"2004"	"2004"	1.48
	"California"	"06"	"2005"	"2005"	2.11
	"California"	"06"	"2006"	"2006"	1.64
	"California"	"06"	"2007"	"2007"	0.99
	"California"	"06"	"2008"	"2008"	1.23
	"California"	"06"	"2009"	"2009"	1.22
	"California"	"06"	"2010"	"2010"	2.14
	"California"	"06"	"2011"	"2011"	1.30
"Total"	"California"	"06"			1.58
	"Colorado"	"08"	"1979"	"1979"	1.31
	"Colorado"	"08"	"1980"	"1980"	1.22
	"Colorado"	"08"	"1981"	"1981"	1.29
	"Colorado"	"08"	"1982"	"1982"	1.32
	"Colorado"	"08"	"1983"	"1983"	1.50
	"Colorado"	"08"	"1984"	"1984"	1.38
	"Colorado"	"08"	"1985"	"1985"	1.40
	"Colorado"	"08"	"1986"	"1986"	1.34
	"Colorado"	"08"	"1987"	"1987"	1.28
	"Colorado"	"08"	"1988"	"1988"	1.12
	"Colorado"	"08"	"1989"	"1989"	1.00
	"Colorado"	"08"	"1990"	"1990"	1.35
	"Colorado"	"08"	"1991"	"1991"	1.27
	"Colorado"	"08"	"1992"	"1992"	1.29
	"Colorado"	"08"	"1993"	"1993"	1.36
	"Colorado"	"08"	"1994"	"1994"	1.18
	"Colorado"	"08"	"1995"	"1995"	1.53
	"Colorado"	"08"	"1996"	"1996"	1.39
	"Colorado"	"08"	"1997"	"1997"	1.53
	"Colorado"	"08"	"1998"	"1998"	1.31
	"Colorado"	"08"	"1999"	"1999"	1.37
	"Colorado"	"08"	"2000"	"2000"	1.22
	"Colorado"	"08"	"2001"	"2001"	1.19
	"Colorado"	"08"	"2002"	"2002"	0.88
	"Colorado"	"08"	"2003"	"2003"	1.26
	"Colorado"	"08"	"2004"	"2004"	1.43
	"Colorado"	"08"	"2005"	"2005"	1.40
	"Colorado"	"08"	"2006"	"2006"	1.37
	"Colorado"	"08"	"2007"	"2007"	1.36
	"Colorado"	"08"	"2008"	"2008"	1.17
	"Colorado"	"08"	"2009"	"2009"	1.32
	"Colorado"	"08"	"2010"	"2010"	1.28
	"Colorado"	"08"	"2011"	"2011"	1.22
"Total"	"Colorado"	"08"			1.30
	"Connecticut"	"09"	"1979"	"1979"	4.05
	"Connecticut"	"09"	"1980"	"1980"	2.84
	"Connecticut"	"09"	"1981"	"1981"	3.02
	"Connecticut"	"09"	"1982"	"1982"	3.26
	"Connecticut"	"09"	"1983"	"1983"	4.56
	"Connecticut"	"09"	"1984"	"1984"	3.64
	"Connecticut"	"09"	"1985"	"1985"	2.98
	"Connecticut"	"09"	"1986"	"1986"	3.29
	"Connecticut"	"09"	"1987"	"1987"	3.16
	"Connecticut"	"09"	"1988"	"1988"	3.02
	"Connecticut"	"09"	"1989"	"1989"	4.11
	"Connecticut"	"09"	"1990"	"1990"	3.87
	"Connecticut"	"09"	"1991"	"1991"	3.34
	"Connecticut"	"09"	"1992"	"1992"	3.39
	"Connecticut"	"09"	"1993"	"1993"	3.09
	"Connecticut"	"09"	"1994"	"1994"	3.47
	"Connecticut"	"09"	"1995"	"1995"	2.85
	"Connecticut"	"09"	"1996"	"1996"	4.16
	"Connecticut"	"09"	"1997"	"1997"	2.86
	"Connecticut"	"09"	"1998"	"1998"	3.26
	"Connecticut"	"09"	"1999"	"1999"	2.96
	"Connecticut"	"09"	"2000"	"2000"	2.99
	"Connecticut"	"09"	"2001"	"2001"	2.34
	"Connecticut"	"09"	"2002"	"2002"	3.01
	"Connecticut"	"09"	"2003"	"2003"	3.82
	"Connecticut"	"09"	"2004"	"2004"	3.39
	"Connecticut"	"09"	"2005"	"2005"	3.89
	"Connecticut"	"09"	"2006"	"2006"	4.05
	"Connecticut"	"09"	"2007"	"2007"	3.11
	"Connecticut"	"09"	"2008"	"2008"	4.19
	"Connecticut"	"09"	"2009"	"2009"	3.50
	"Connecticut"	"09"	"2010"	"2010"	3.41
	"Connecticut"	"09"	"2011"	"2011"	4.60
"Total"	"Connecticut"	"09"			3.44
	"Delaware"	"10"	"1979"	"1979"	3.89
	"Delaware"	"10"	"1980"	"1980"	2.70
	"Delaware"	"10"	"1981"	"1981"	2.60
	"Delaware"	"10"	"1982"	"1982"	2.80
	"Delaware"	"10"	"1983"	"1983"	3.80
	"Delaware"	"10"	"1984"	"1984"	3.08
	"Delaware"	"10"	"1985"	"1985"	2.74
	"Delaware"	"10"	"1986"	"1986"	2.61
	"Delaware"	"10"	"1987"	"1987"	2.50
	"Delaware"	"10"	"1988"	"1988"	2.72
	"Delaware"	"10"	"1989"	"1989"	3.93
	"Delaware"	"10"	"1990"	"1990"	3.11
	"Delaware"	"10"	"1991"	"1991"	2.86
	"Delaware"	"10"	"1992"	"1992"	2.86
	"Delaware"	"10"	"1993"	"1993"	3.13
	"Delaware"	"10"	"1994"	"1994"	3.37
	"Delaware"	"10"	"1995"	"1995"	2.70
	"Delaware"	"10"	"1996"	"1996"	4.03
	"Delaware"	"10"	"1997"	"1997"	2.78
	"Delaware"	"10"	"1998"	"1998"	2.89
	"Delaware"	"10"	"1999"	"1999"	3.20
	"Delaware"	"10"	"2000"	"2000"	3.13
	"Delaware"	"10"	"2001"	"2001"	2.63
	"Delaware"	"10"	"2002"	"2002"	3.12
	"Delaware"	"10"	"2003"	"2003"	4.17
	"Delaware"	"10"	"2004"	"2004"	3.12
	"Delaware"	"10"	"2005"	"2005"	3.19
	"Delaware"	"10"	"2006"	"2006"	3.21
	"Delaware"	"10"	"2007"	"2007"	2.48
	"Delaware"	"10"	"2008"	"2008"	2.89
	"Delaware"	"10"	"2009"	"2009"	3.83
	"Delaware"	"10"	"2010"	"2010"	2.81
	"Delaware"	"10"	"2011"	"2011"	3.30
"Total"	"Delaware"	"10"			3.10
	"District of Columbia"	"11"	"1979"	"1979"	4.00
	"District of Columbia"	"11"	"1980"	"1980"	2.46
	"District of Columbia"	"11"	"1981"	"1981"	2.34
	"District of Columbia"	"11"	"1982"	"1982"	2.69
	"District of Columbia"	"11"	"1983"	"1983"	3.78
	"District of Columbia"	"11"	"1984"	"1984"	2.85
	"District of Columbia"	"11"	"1985"	"1985"	2.58
	"District of Columbia"	"11"	"1986"	"1986"	2.51
	"District of Columbia"	"11"	"1987"	"1987"	2.70
	"District of Columbia"	"11"	"1988"	"1988"	2.53
	"District of Columbia"	"11"	"1989"	"1989"	3.50
	"District of Columbia"	"11"	"1990"	"1990"	3.35
	"District of Columbia"	"11"	"1991"	"1991"	2.39
	"District of Columbia"	"11"	"1992"	"1992"	2.94
	"District of Columbia"	"11"	"1993"	"1993"	3.33
	"District of Columbia"	"11"	"1994"	"1994"	2.99
	"District of Columbia"	"11"	"1995"	"1995"	2.79
	"District of Columbia"	"11"	"1996"	"1996"	4.16
	"District of Columbia"	"11"	"1997"	"1997"	2.68
	"District of Columbia"	"11"	"1998"	"1998"	2.84
	"District of Columbia"	"11"	"1999"	"1999"	2.94
	"District of Columbia"	"11"	"2000"	"2000"	2.71
	"District of Columbia"	"11"	"2001"	"2001"	2.41
	"District of Columbia"	"11"	"2002"	"2002"	2.91
	"District of Columbia"	"11"	"2003"	"2003"	4.48
	"District of Columbia"	"11"	"2004"	"2004"	2.77
	"District of Columbia"	"11"	"2005"	"2005"	3.20
	"District of Columbia"	"11"	"2006"	"2006"	3.25
	"District of Columbia"	"11"	"2007"	"2007"	2.38
	"District of Columbia"	"11"	"2008"	"2008"	3.33
	"District of Columbia"	"11"	"2009"	"2009"	3.52
	"District of Columbia"	"11"	"2010"	"2010"	2.93
	"District of Columbia"	"11"	"2011"	"2011"	3.41
"Total"	"District of Columbia"	"11"			3.02
	"Florida"	"12"	"1979"	"1979"	4.09
	"Florida"	"12"	"1980"	"1980"	3.40
	"Florida"	"12"	"1981"	"1981"	3.03
	"Florida"	"12"	"1982"	"1982"	4.17
	"Florida"	"12"	"1983"	"1983"	4.57
	"Florida"	"12"	"1984"	"1984"	3.32
	"Florida"	"12"	"1985"	"1985"	3.61
	"Florida"	"12"	"1986"	"1986"	3.60
	"Florida"	"12"	"1987"	"1987"	3.62
	"Florida"	"12"	"1988"	"1988"	3.65
	"Florida"	"12"	"1989"	"1989"	3.41
	"Florida"	"12"	"1990"	"1990"	2.97
	"Florida"	"12"	"1991"	"1991"	4.36
	"Florida"	"12"	"1992"	"1992"	3.93
	"Florida"	"12"	"1993"	"1993"	3.45
	"Florida"	"12"	"1994"	"1994"	4.51
	"Florida"	"12"	"1995"	"1995"	3.98
	"Florida"	"12"	"1996"	"1996"	3.73
	"Florida"	"12"	"1997"	"1997"	4.08
	"Florida"	"12"	"1998"	"1998"	3.80
	"Florida"	"12"	"1999"	"1999"	3.41
	"Florida"	"12"	"2000"	"2000"	2.61
	"Florida"	"12"	"2001"	"2001"	3.34
	"Florida"	"12"	"2002"	"2002"	4.05
	"Florida"	"12"	"2003"	"2003"	3.96
	"Florida"	"12"	"2004"	"2004"	3.87
	"Florida"	"12"	"2005"	"2005"	4.32
	"Florida"	"12"	"2006"	"2006"	2.94
	"Florida"	"12"	"2007"	"2007"	3.09
	"Florida"	"12"	"2008"	"2008"	3.84
	"Florida"	"12"	"2009"	"2009"	3.79
	"Florida"	"12"	"2010"	"2010"	3.31
	"Florida"	"12"	"2011"	"2011"	3.21
"Total"	"Florida"	"12"			3.67
	"Georgia"	"13"	"1979"	"1979"	3.87
	"Georgia"	"13"	"1980"	"1980"	3.24
	"Georgia"	"13"	"1981"	"1981"	2.95
	"Georgia"	"13"	"1982"	"1982"	3.64
	"Georgia"	"13"	"1983"	"1983"	3.95
	"Georgia"	"13"	"1984"	"1984"	3.26
	"Georgia"	"13"	"1985"	"1985"	3.26
	"Georgia"	"13"	"1986"	"1986"	2.92
	"Georgia"	"13"	"1987"	"1987"	3.08
	"Georgia"	"13"	"1988"	"1988"	3.03
	"Georgia"	"13"	"1989"	"1989"	3.85
	"Georgia"	"13"	"1990"	"1990"	3.07
	"Georgia"	"13"	"1991"	"1991"	3.97
	"Georgia"	"13"	"1992"	"1992"	4.05
	"Georgia"	"13"	"1993"	"1993"	3.17
	"Georgia"	"13"	"1994"	"1994"	4.20
	"Georgia"	"13"	"1995"	"1995"	3.42
	"Georgia"	"13"	"1996"	"1996"	3.31
	"Georgia"	"13"	"1997"	"1997"	3.94
	"Georgia"	"13"	"1998"	"1998"	3.59
	"Georgia"	"13"	"1999"	"1999"	2.86
	"Georgia"	"13"	"2000"	"2000"	2.83
	"Georgia"	"13"	"2001"	"2001"	2.90
	"Georgia"	"13"	"2002"	"2002"	3.50
	"Georgia"	"13"	"2003"	"2003"	3.89
	"Georgia"	"13"	"2004"	"2004"	3.54
	"Georgia"	"13"	"2005"	"2005"	3.79
	"Georgia"	"13"	"2006"	"2006"	2.84
	"Georgia"	"13"	"2007"	"2007"	2.47
	"Georgia"	"13"	"2008"	"2008"	3.28
	"Georgia"	"13"	"2009"	"2009"	4.33
	"Georgia"	"13"	"2010"	"2010"	3.03
	"Georgia"	"13"	"2011"	"2011"	2.77
"Total"	"Georgia"	"13"			3.39
	"Idaho"	"16"	"1979"	"1979"	1.41
	"Idaho"	"16"	"1980"	"1980"	2.06
	"Idaho"	"16"	"1981"	"1981"	1.89
	"Idaho"	"16"	"1982"	"1982"	2.15
	"Idaho"	"16"	"1983"	"1983"	2.27
	"Idaho"	"16"	"1984"	"1984"	1.87
	"Idaho"	"16"	"1985"	"1985"	1.43
	"Idaho"	"16"	"1986"	"1986"	1.80
	"Idaho"	"16"	"1987"	"1987"	1.33
	"Idaho"	"16"	"1988"	"1988"	1.44
	"Idaho"	"16"	"1989"	"1989"	1.50
	"Idaho"	"16"	"1990"	"1990"	1.63
	"Idaho"	"16"	"1991"	"1991"	1.60
	"Idaho"	"16"	"1992"	"1992"	1.27
	"Idaho"	"16"	"1993"	"1993"	1.61
	"Idaho"	"16"	"1994"	"1994"	1.34
	"Idaho"	"16"	"1995"	"1995"	2.16
	"Idaho"	"16"	"1996"	"1996"	2.23
	"Idaho"	"16"	"1997"	"1997"	1.74
	"Idaho"	"16"	"1998"	"1998"	2.00
	"Idaho"	"16"	"1999"	"1999"	1.42
	"Idaho"	"16"	"2000"	"2000"	1.43
	"Idaho"	"16"	"2001"	"2001"	1.33
	"Idaho"	"16"	"2002"	"2002"	1.34
	"Idaho"	"16"	"2003"	"2003"	1.62
	"Idaho"	"16"	"2004"	"2004"	1.66
	"Idaho"	"16"	"2005"	"2005"	1.79
	"Idaho"	"16"	"2006"	"2006"	1.88
	"Idaho"	"16"	"2007"	"2007"	1.35
	"Idaho"	"16"	"2008"	"2008"	1.51
	"Idaho"	"16"	"2009"	"2009"	1.64
	"Idaho"	"16"	"2010"	"2010"	1.88
	"Idaho"	"16"	"2011"	"2011"	1.77
"Total"	"Idaho"	"16"			1.68
	"Illinois"	"17"	"1979"	"1979"	2.61
	"Illinois"	"17"	"1980"	"1980"	2.32
	"Illinois"	"17"	"1981"	"1981"	2.88
	"Illinois"	"17"	"1982"	"1982"	3.20
	"Illinois"	"17"	"1983"	"1983"	2.83
	"Illinois"	"17"	"1984"	"1984"	2.85
	"Illinois"	"17"	"1985"	"1985"	3.08
	"Illinois"	"17"	"1986"	"1986"	2.55
	"Illinois"	"17"	"1987"	"1987"	2.37
	"Illinois"	"17"	"1988"	"1988"	2.02
	"Illinois"	"17"	"1989"	"1989"	2.21
	"Illinois"	"17"	"1990"	"1990"	3.43
	"Illinois"	"17"	"1991"	"1991"	2.50
	"Illinois"	"17"	"1992"	"1992"	2.52
	"Illinois"	"17"	"1993"	"1993"	3.55
	"Illinois"	"17"	"1994"	"1994"	2.47
	"Illinois"	"17"	"1995"	"1995"	2.74
	"Illinois"	"17"	"1996"	"1996"	2.65
	"Illinois"	"17"	"1997"	"1997"	2.44
	"Illinois"	"17"	"1998"	"1998"	3.09
	"Illinois"	"17"	"1999"	"1999"	2.58
	"Illinois"	"17"	"2000"	"2000"	2.65
	"Illinois"	"17"	"2001"	"2001"	2.72
	"Illinois"	"17"	"2002"	"2002"	2.76
	"Illinois"	"17"	"2003"	"2003"	2.68
	"Illinois"	"17"	"2004"	"2004"	2.78
	"Illinois"	"17"	"2005"	"2005"	2.24
	"Illinois"	"17"	"2006"	"2006"	2.86
	"Illinois"	"17"	"2007"	"2007"	2.56
	"Illinois"	"17"	"2008"	"2008"	3.52
	"Illinois"	"17"	"2009"	"2009"	3.53
	"Illinois"	"17"	"2010"	"2010"	2.84
	"Illinois"	"17"	"2011"	"2011"	3.13
"Total"	"Illinois"	"17"			2.76
	"Indiana"	"18"	"1979"	"1979"	3.12
	"Indiana"	"18"	"1980"	"1980"	2.47
	"Indiana"	"18"	"1981"	"1981"	2.85
	"Indiana"	"18"	"1982"	"1982"	3.12
	"Indiana"	"18"	"1983"	"1983"	2.81
	"Indiana"	"18"	"1984"	"1984"	2.82
	"Indiana"	"18"	"1985"	"1985"	3.12
	"Indiana"	"18"	"1986"	"1986"	2.76
	"Indiana"	"18"	"1987"	"1987"	2.41
	"Indiana"	"18"	"1988"	"1988"	2.37
	"Indiana"	"18"	"1989"	"1989"	2.99
	"Indiana"	"18"	"1990"	"1990"	3.71
	"Indiana"	"18"	"1991"	"1991"	2.50
	"Indiana"	"18"	"1992"	"1992"	2.84
	"Indiana"	"18"	"1993"	"1993"	3.15
	"Indiana"	"18"	"1994"	"1994"	2.39
	"Indiana"	"18"	"1995"	"1995"	2.65
	"Indiana"	"18"	"1996"	"1996"	3.29
	"Indiana"	"18"	"1997"	"1997"	2.79
	"Indiana"	"18"	"1998"	"1998"	3.13
	"Indiana"	"18"	"1999"	"1999"	2.43
	"Indiana"	"18"	"2000"	"2000"	3.04
	"Indiana"	"18"	"2001"	"2001"	3.13
	"Indiana"	"18"	"2002"	"2002"	3.08
	"Indiana"	"18"	"2003"	"2003"	3.29
	"Indiana"	"18"	"2004"	"2004"	3.06
	"Indiana"	"18"	"2005"	"2005"	2.92
	"Indiana"	"18"	"2006"	"2006"	3.66
	"Indiana"	"18"	"2007"	"2007"	2.93
	"Indiana"	"18"	"2008"	"2008"	3.52
	"Indiana"	"18"	"2009"	"2009"	3.27
	"Indiana"	"18"	"2010"	"2010"	2.60
	"Indiana"	"18"	"2011"	"2011"	3.86
"Total"	"Indiana"	"18"			2.97
	"Iowa"	"19"	"1979"	"1979"	2.35
	"Iowa"	"19"	"1980"	"1980"	1.99
	"Iowa"	"19"	"1981"	"1981"	2.19
	"Iowa"	"19"	"1982"	"1982"	2.84
	"Iowa"	"19"	"1983"	"1983"	2.53
	"Iowa"	"19"	"1984"	"1984"	2.54
	"Iowa"	"19"	"1985"	"1985"	2.14
	"Iowa"	"19"	"1986"	"1986"	2.76
	"Iowa"	"19"	"1987"	"1987"	2.26
	"Iowa"	"19"	"1988"	"1988"	1.49
	"Iowa"	"19"	"1989"	"1989"	1.69
	"Iowa"	"19"	"1990"	"1990"	2.68
	"Iowa"	"19"	"1991"	"1991"	2.65
	"Iowa"	"19"	"1992"	"1992"	2.53
	"Iowa"	"19"	"1993"	"1993"	3.40
	"Iowa"	"19"	"1994"	"1994"	2.14
	"Iowa"	"19"	"1995"	"1995"	2.30
	"Iowa"	"19"	"1996"	"1996"	2.40
	"Iowa"	"19"	"1997"	"1997"	2.09
	"Iowa"	"19"	"1998"	"1998"	2.81
	"Iowa"	"19"	"1999"	"1999"	2.37
	"Iowa"	"19"	"2000"	"2000"	2.01
	"Iowa"	"19"	"2001"	"2001"	2.31
	"Iowa"	"19"	"2002"	"2002"	2.08
	"Iowa"	"19"	"2003"	"2003"	1.93
	"Iowa"	"19"	"2004"	"2004"	2.36
	"Iowa"	"19"	"2005"	"2005"	2.02
	"Iowa"	"19"	"2006"	"2006"	2.20
	"Iowa"	"19"	"2007"	"2007"	2.82
	"Iowa"	"19"	"2008"	"2008"	2.87
	"Iowa"	"19"	"2009"	"2009"	2.67
	"Iowa"	"19"	"2010"	"2010"	3.04
	"Iowa"	"19"	"2011"	"2011"	2.10
"Total"	"Iowa"	"19"			2.38
	"Kansas"	"20"	"1979"	"1979"	1.99
	"Kansas"	"20"	"1980"	"1980"	1.48
	"Kansas"	"20"	"1981"	"1981"	2.06
	"Kansas"	"20"	"1982"	"1982"	1.94
	"Kansas"	"20"	"1983"	"1983"	1.83
	"Kansas"	"20"	"1984"	"1984"	1.98
	"Kansas"	"20"	"1985"	"1985"	2.24
	"Kansas"	"20"	"1986"	"1986"	2.14
	"Kansas"	"20"	"1987"	"1987"	2.22
	"Kansas"	"20"	"1988"	"1988"	1.36
	"Kansas"	"20"	"1989"	"1989"	1.82
	"Kansas"	"20"	"1990"	"1990"	1.92
	"Kansas"	"20"	"1991"	"1991"	1.62
	"Kansas"	"20"	"1992"	"1992"	2.33
	"Kansas"	"20"	"1993"	"1993"	2.64
	"Kansas"	"20"	"1994"	"1994"	1.75
	"Kansas"	"20"	"1995"	"1995"	2.06
	"Kansas"	"20"	"1996"	"1996"	2.17
	"Kansas"	"20"	"1997"	"1997"	2.18
	"Kansas"	"20"	"1998"	"1998"	2.28
	"Kansas"	"20"	"1999"	"1999"	2.31
	"Kansas"	"20"	"2000"	"2000"	1.92
	"Kansas"	"20"	"2001"	"2001"	2.10
	"Kansas"	"20"	"2002"	"2002"	1.72
	"Kansas"	"20"	"2003"	"2003"	1.90
	"Kansas"	"20"	"2004"	"2004"	2.28
	"Kansas"	"20"	"2005"	"2005"	2.26
	"Kansas"	"20"	"2006"	"2006"	1.93
	"Kansas"	"20"	"2007"	"2007"	2.57
	"Kansas"	"20"	"2008"	"2008"	2.50
	"Kansas"	"20"	"2009"	"2009"	2.36
	"Kansas"	"20"	"2010"	"2010"	2.04
	"Kansas"	"20"	"2011"	"2011"	1.77
"Total"	"Kansas"	"20"			2.05
	"Kentucky"	"21"	"1979"	"1979"	4.29
	"Kentucky"	"21"	"1980"	"1980"	2.61
	"Kentucky"	"21"	"1981"	"1981"	3.09
	"Kentucky"	"21"	"1982"	"1982"	3.45
	"Kentucky"	"21"	"1983"	"1983"	3.33
	"Kentucky"	"21"	"1984"	"1984"	3.63
	"Kentucky"	"21"	"1985"	"1985"	3.04
	"Kentucky"	"21"	"1986"	"1986"	2.91
	"Kentucky"	"21"	"1987"	"1987"	2.65
	"Kentucky"	"21"	"1988"	"1988"	3.00
	"Kentucky"	"21"	"1989"	"1989"	3.96
	"Kentucky"	"21"	"1990"	"1990"	3.83
	"Kentucky"	"21"	"1991"	"1991"	3.19
	"Kentucky"	"21"	"1992"	"1992"	2.90
	"Kentucky"	"21"	"1993"	"1993"	3.02
	"Kentucky"	"21"	"1994"	"1994"	3.22
	"Kentucky"	"21"	"1995"	"1995"	3.10
	"Kentucky"	"21"	"1996"	"1996"	3.91
	"Kentucky"	"21"	"1997"	"1997"	3.39
	"Kentucky"	"21"	"1998"	"1998"	3.36
	"Kentucky"	"21"	"1999"	"1999"	2.61
	"Kentucky"	"21"	"2000"	"2000"	3.05
	"Kentucky"	"21"	"2001"	"2001"	3.12
	"Kentucky"	"21"	"2002"	"2002"	3.79
	"Kentucky"	"21"	"2003"	"2003"	3.90
	"Kentucky"	"21"	"2004"	"2004"	3.92
	"Kentucky"	"21"	"2005"	"2005"	2.78
